customer_id,application_date,loan_amount,interest_rate,tenure_years,credit_score,employment_type,property_value,EMI,default_flag,years_before_default,outstanding_principal,recovery_value,LGD,EAD,PD,EL
20,2015-01-20,4275709,7.74,15,456,Self-employed,5458876.721626262,40222.0,1,4.0,3135519.9333333336,5095104.358676942,0.0,3135519.9333333336,0.3,0.0
21,2015-01-21,1084654,6.57,30,525,Salaried,1259205.865582939,6906.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
22,2015-01-22,6147581,7.32,25,711,Self-employed,10167437.95183755,44713.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
23,2015-01-23,2954354,11.9,20,504,Self-employed,4043070.887019633,32324.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
24,2015-01-24,9242680,11.74,30,378,Salaried,13851234.781057231,93226.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
25,2015-01-25,3428388,10.08,25,423,Self-employed,4784311.10804913,31347.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
26,2015-01-26,9916786,10.1,10,770,Salaried,13682158.741169587,131601.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
27,2015-01-27,3663046,10.49,10,517,Salaried,4445437.218317056,49407.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
28,2015-01-28,6499720,7.55,15,815,Self-employed,10347457.736959537,60438.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
29,2015-01-29,7640913,11.99,25,403,Self-employed,10136859.496809712,80419.0,1,1.0,7335276.4799999995,9455979.744583735,0.0,7335276.4799999995,0.3,0.0
30,2015-01-30,4416664,9.01,10,692,Salaried,5741456.686684054,55972.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
31,2015-01-31,4385659,8.8,20,733,Self-employed,5861242.815015116,38897.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
32,2015-02-01,4385357,9.61,25,630,Self-employed,5350854.638032162,38651.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
33,2015-02-02,2465689,6.78,20,442,Salaried,3447853.6293676673,18792.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
34,2015-02-03,1068148,7.5,20,839,Salaried,1209009.5598327157,8605.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
35,2015-02-04,2825665,10.93,10,577,Self-employed,3795176.995845248,38812.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
36,2015-02-05,3745683,7.0,25,532,Salaried,4855920.370262197,26474.0,1,2.0,3446028.3600000003,3821331.484926881,0.0,3446028.3600000003,0.3,0.0
37,2015-02-06,5056518,10.12,30,828,Salaried,5965272.033392907,44824.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
38,2015-02-07,3669995,7.97,10,870,Salaried,5376724.039661931,44469.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
39,2015-02-08,5997895,8.84,10,389,Salaried,9634234.67027583,75460.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
40,2015-02-09,7397986,8.23,25,791,Salaried,9107060.803368185,58231.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
41,2015-02-10,2870928,8.63,25,498,Salaried,3854093.5592458127,23370.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
42,2015-02-11,5155299,10.81,20,661,Salaried,5932782.592779035,52547.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
43,2015-02-12,7249859,8.28,25,740,Self-employed,8102175.316128101,57307.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
44,2015-02-13,3305413,9.9,20,325,Salaried,4592555.704346639,31679.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
45,2015-02-14,4910197,9.36,10,324,Self-employed,6776127.744544902,63161.0,1,1.0,4419177.3,5796605.924182262,0.0,4419177.3,0.3,0.0
46,2015-02-15,6558019,10.48,15,693,Self-employed,9078240.38185195,72411.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
47,2015-02-16,6414709,12.12,30,806,Self-employed,9198479.503584627,66576.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
48,2015-02-17,1271836,10.9,10,600,Salaried,1524058.3086205039,17448.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
49,2015-02-18,4584702,7.79,25,638,Salaried,5539095.133007244,34750.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
50,2015-02-19,8281369,6.69,30,566,Self-employed,11136957.803560685,53383.0,1,4.0,7177186.466666667,9162504.719721384,0.0,7177186.466666667,0.3,0.0
51,2015-02-20,3299435,8.07,15,760,Salaried,5378943.258944563,31665.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
52,2015-02-21,9585377,10.07,15,755,Self-employed,13834352.140572567,103416.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
53,2015-02-22,3658505,6.81,20,659,Salaried,5319984.495503279,27949.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
54,2015-02-23,2271741,9.48,30,367,Salaried,2693786.900508227,19069.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
55,2015-02-24,4769315,10.08,20,711,Self-employed,7615396.955738058,46278.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
56,2015-02-25,2046797,8.51,10,790,Self-employed,2431734.1619879617,25388.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
57,2015-02-26,4047262,11.13,30,348,Self-employed,5054306.893502135,38941.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
58,2015-02-27,1564685,7.14,10,863,Salaried,1908775.2636890684,18280.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
59,2015-02-28,3879190,6.95,20,401,Self-employed,5316406.225957655,29959.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
60,2015-03-01,6596411,10.87,30,515,Salaried,8205330.821337603,62172.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
61,2015-03-02,2007293,9.47,20,737,Salaried,2564546.7369156745,18671.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
62,2015-03-03,5774183,10.63,30,868,Salaried,6951034.427704693,53381.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
63,2015-03-04,4366612,9.11,20,858,Self-employed,5948811.8286764,39597.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
64,2015-03-05,9411855,7.98,15,458,Self-employed,12687045.008001976,89836.0,1,1.0,8784398.0,11047558.855700899,0.0,8784398.0,0.3,0.0
65,2015-03-06,6267180,11.41,20,788,Self-employed,7902401.232202355,66447.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
66,2015-03-07,8807313,11.3,15,541,Salaried,13926295.446065787,101769.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
67,2015-03-08,3704238,10.67,20,304,Salaried,5068235.253769393,37406.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
68,2015-03-09,3630708,8.13,30,895,Self-employed,4072193.865286497,26971.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
69,2015-03-10,4494679,10.04,30,660,Salaried,7353069.261500886,39577.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
70,2015-03-11,6517209,8.67,30,758,Salaried,9379959.28311983,50899.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
71,2015-03-12,2767640,7.05,25,547,Self-employed,3986615.756333031,19649.0,1,4.0,2324817.6,3565221.8383758566,0.0,2324817.6,0.3,0.0
72,2015-03-13,7723771,12.0,10,865,Self-employed,9776439.764368143,110814.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
73,2015-03-14,2285160,7.32,30,721,Self-employed,3617246.984459167,15697.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
74,2015-03-15,7080526,12.2,15,314,Salaried,8979021.48720789,85891.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
75,2015-03-16,6173036,9.18,30,872,Salaried,9821666.556756293,50471.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
76,2015-03-17,2425472,7.61,25,421,Salaried,3859229.380387447,18098.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
77,2015-03-18,1048984,9.75,15,576,Salaried,1281663.6111059461,11113.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
78,2015-03-19,7556168,11.74,25,857,Salaried,10837246.882301474,78136.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
79,2015-03-20,2504384,10.89,15,752,Self-employed,2803749.0182833257,28292.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
80,2015-03-21,3230919,11.34,20,689,Salaried,5286138.600434224,34100.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
81,2015-03-22,7940119,10.45,10,593,Salaried,10824502.556910092,106918.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
82,2015-03-23,2737095,10.65,10,873,Salaried,4317587.826385939,37163.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
83,2015-03-24,5780450,11.6,25,897,Self-employed,8194411.423706855,59180.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
84,2015-03-25,8469344,8.0,10,745,Self-employed,9415961.334333904,102757.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
85,2015-03-26,3109818,9.44,25,509,Self-employed,3588309.1438451624,27041.0,1,3.0,2736639.84,2954224.0017966754,0.0,2736639.84,0.3,0.0
86,2015-03-27,3231785,7.83,25,889,Salaried,5259233.654636963,24581.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
87,2015-03-28,4853339,12.43,25,601,Self-employed,6311424.864449408,52665.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
88,2015-03-29,1996107,12.16,10,522,Self-employed,2512891.438325267,28823.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
89,2015-03-30,8130144,6.74,25,302,Self-employed,12265243.416530285,56121.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
90,2015-03-31,5545583,10.73,10,817,Salaried,8617420.464484658,75545.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
91,2015-04-01,4747389,12.05,25,392,Self-employed,5448537.663023489,50176.0,1,3.0,4177702.32,4376438.045413492,0.0,4177702.32,0.3,0.0
92,2015-04-02,5142807,7.58,30,819,Salaried,5774250.560076598,36241.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
93,2015-04-03,8988004,9.91,25,727,Salaried,10013732.02921903,81105.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
94,2015-04-04,7245035,11.99,15,792,Self-employed,8656694.952966208,86906.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
95,2015-04-05,4602279,6.7,25,534,Salaried,5759683.904967091,31653.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
96,2015-04-06,6515989,10.68,20,460,Self-employed,9259361.051010692,65844.0,1,3.0,5538590.649999999,7459431.538378019,0.0,5538590.649999999,0.3,0.0
97,2015-04-07,3121690,8.28,25,630,Salaried,4792134.761398431,24676.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
98,2015-04-08,1491234,12.05,15,632,Self-employed,2390969.8827951164,17945.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
99,2015-04-09,6401218,12.33,15,349,Self-employed,7922405.000740226,78190.0,1,2.0,5547722.266666667,7148999.668212062,0.0,5547722.266666667,0.3,0.0
100,2015-04-10,7914550,12.17,10,822,Self-employed,9473771.502594318,114330.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
101,2015-04-11,7167294,9.35,30,791,Salaried,8452634.621922404,59484.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
102,2015-04-12,7906726,11.67,25,881,Self-employed,9045257.014017817,81354.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
103,2015-04-13,6888794,11.57,10,571,Salaried,7973336.208145552,97129.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
104,2015-04-14,8558158,8.41,30,879,Self-employed,9509884.60143402,65260.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
105,2015-04-15,7510425,11.47,25,551,Salaried,11155987.475245573,76176.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
106,2015-04-16,9511017,6.72,20,859,Salaried,11472986.150897756,72149.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
107,2015-04-17,8887739,10.08,25,389,Self-employed,11454189.22079522,81265.0,1,3.0,7821210.32,9030559.873778213,0.0,7821210.32,0.3,0.0
108,2015-04-18,1769598,7.88,15,745,Self-employed,2608589.363153039,16789.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
109,2015-04-19,6292895,7.22,15,631,Self-employed,7034534.7687226655,57339.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
110,2015-04-20,8971379,6.96,20,438,Self-employed,10319409.304764444,69340.0,1,3.0,7625672.149999999,9708694.103185719,0.0,7625672.149999999,0.3,0.0
111,2015-04-21,4331068,10.68,10,656,Self-employed,6782610.7871154575,58879.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
112,2015-04-22,4256415,8.54,30,573,Salaried,7002438.903037753,32849.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
113,2015-04-23,1874371,10.85,25,318,Self-employed,2324082.8178121946,18168.0,1,5.0,1499496.8,1990158.9467048615,0.0,1499496.8,0.3,0.0
114,2015-04-24,6654237,6.89,15,610,Self-employed,8517541.230156917,59402.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
115,2015-04-25,1973548,8.39,10,453,Salaried,2240771.9610542823,24353.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
116,2015-04-26,4344014,9.74,20,689,Self-employed,6481652.818768465,41175.0,1,2.0,3909612.6,5573559.742683703,0.0,3909612.6,0.1,0.0
117,2015-04-27,8064746,11.24,15,559,Self-employed,12897064.912419569,92883.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
118,2015-04-28,7216204,8.41,20,870,Salaried,10647065.36546596,62213.0,1,1.0,6855393.8,9279362.751472227,0.0,6855393.8,0.02,0.0
119,2015-04-29,6193542,10.26,25,424,Self-employed,10225794.91495291,57420.0,1,3.0,5450316.96,8475093.48212391,0.0,5450316.96,0.3,0.0
120,2015-04-30,3959034,11.82,30,653,Self-employed,6482060.507506236,40175.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
121,2015-05-01,5574293,10.2,15,572,Self-employed,6374573.959979916,60586.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
122,2015-05-02,7706971,7.9,15,544,Salaried,10922500.940025927,73208.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
123,2015-05-03,1043585,6.65,25,749,Self-employed,1442925.0368692721,7144.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
124,2015-05-04,3539448,11.72,10,546,Salaried,5845385.300310293,50210.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
125,2015-05-05,1109556,6.63,30,819,Self-employed,1628929.54046892,7108.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
126,2015-05-06,2575557,11.75,15,440,Salaried,3060972.818652174,30498.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
127,2015-05-07,9306461,9.67,30,661,Self-employed,11860693.516073024,79411.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
128,2015-05-08,3009021,12.13,15,307,Salaried,3642290.8913088283,36365.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
129,2015-05-09,2201482,11.29,30,777,Salaried,2998623.786311804,21449.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
130,2015-05-10,1542335,12.49,20,651,Salaried,2225852.5450738613,17512.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
131,2015-05-11,5270070,8.6,15,794,Salaried,7075410.256791092,52206.0,1,3.0,4216056.0,5835118.665277004,0.0,4216056.0,0.02,0.0
132,2015-05-12,7700379,11.1,30,726,Salaried,11049136.786682585,73915.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
133,2015-05-13,4560920,8.91,10,338,Salaried,5355132.598735321,57554.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
134,2015-05-14,7860006,9.38,20,892,Self-employed,11402846.201441562,72651.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
135,2015-05-15,3484413,10.27,20,486,Self-employed,4366820.353263219,34251.0,1,4.0,2787530.4000000004,3722786.5144764544,0.0,2787530.4000000004,0.3,0.0
136,2015-05-16,3907360,11.74,10,895,Salaried,6094825.3089617025,55474.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
137,2015-05-17,6895544,12.4,30,899,Salaried,8554629.238282656,73059.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
138,2015-05-18,6697469,11.11,25,392,Salaried,7663096.446196211,66176.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
139,2015-05-19,3235000,9.01,10,385,Salaried,4133789.3768703253,40997.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
140,2015-05-20,7908531,9.03,30,343,Self-employed,10298148.171028689,63805.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
141,2015-05-21,5322252,10.93,10,436,Salaried,5991263.568088712,73103.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
142,2015-05-22,6822184,7.93,10,720,Self-employed,8655188.836007142,82520.0,1,1.0,6139965.600000001,8138933.680967685,0.0,6139965.600000001,0.02,0.0
143,2015-05-23,1402690,7.16,15,373,Self-employed,2069275.9340451732,12734.0,1,3.0,1122152.0,1879222.4845482535,0.0,1122152.0,0.3,0.0
144,2015-05-24,3548421,8.63,30,847,Salaried,5159708.739457015,27612.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
145,2015-05-25,2954109,8.22,25,811,Salaried,3639894.215751266,23232.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
146,2015-05-26,5422880,8.28,15,455,Self-employed,6608183.390917639,52704.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
147,2015-05-27,8205547,7.9,10,554,Self-employed,11874047.352832213,99123.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
148,2015-05-28,9323735,6.75,10,470,Salaried,13251410.863043519,107059.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
149,2015-05-29,7457294,6.61,10,469,Salaried,8310657.6535879895,85094.0,1,1.0,6711564.600000001,7379368.086752944,0.0,6711564.600000001,0.3,0.0
150,2015-05-30,2384250,12.43,30,621,Salaried,3781008.282792575,25317.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
151,2015-05-31,1061087,9.07,30,866,Self-employed,1470885.1513776658,8591.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
152,2015-06-01,7409907,8.81,15,755,Self-employed,11975911.932973519,74321.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
153,2015-06-02,2496176,10.58,25,454,Salaried,2949434.7901676097,23711.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
154,2015-06-03,1039353,7.81,15,648,Self-employed,1655801.796965914,9819.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
155,2015-06-04,7484531,12.2,20,750,Self-employed,9329980.565075746,83457.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
156,2015-06-05,4360011,11.22,10,472,Salaried,7067098.052123853,60603.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
157,2015-06-06,8654909,7.04,10,309,Salaried,10793588.22628404,100669.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
158,2015-06-07,5259622,9.01,10,564,Self-employed,6166670.943998521,66655.0,1,4.0,3155773.1999999997,5190219.5669211745,0.0,3155773.1999999997,0.3,0.0
159,2015-06-08,5959617,11.77,15,737,Self-employed,8281312.209780293,70646.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
160,2015-06-09,6725570,12.17,15,546,Salaried,8888755.867339106,81455.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
161,2015-06-10,1416880,9.3,10,845,Salaried,1966625.5466607863,18179.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
162,2015-06-11,8072695,10.18,15,798,Salaried,11697072.299248034,87641.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
163,2015-06-12,8433296,7.5,30,428,Salaried,10027950.516664919,58967.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
164,2015-06-13,5965050,12.45,30,626,Salaried,8751530.579187738,63431.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
165,2015-06-14,1813168,7.89,15,703,Self-employed,2219617.667850931,17213.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
166,2015-06-15,1225281,12.16,10,658,Self-employed,1851271.6014377207,17693.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
167,2015-06-16,4782875,10.4,15,316,Self-employed,7086201.198698517,52574.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
168,2015-06-17,3995765,10.15,15,573,Self-employed,5700594.077915263,43306.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
169,2015-06-18,8734102,9.58,15,415,Salaried,11244463.095210489,91626.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
170,2015-06-19,6595108,7.88,20,390,Salaried,8956768.833841573,54673.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
171,2015-06-20,6674719,7.56,30,381,Salaried,8104877.83875009,46945.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
172,2015-06-21,9658144,7.82,25,623,Self-employed,14543860.188232724,73395.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
173,2015-06-22,7609280,7.62,25,413,Self-employed,12614818.844399171,56827.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
174,2015-06-23,6500306,11.18,20,357,Self-employed,7803795.486622928,67894.0,1,2.0,5850275.4,6427339.622549261,0.0,5850275.4,0.3,0.0
175,2015-06-24,5372093,8.6,15,453,Salaried,6346279.975918425,53216.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
176,2015-06-25,2561729,6.85,20,703,Self-employed,4146238.8517394317,19631.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
177,2015-06-26,6031595,12.31,20,565,Salaried,7700508.9211455155,67721.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
178,2015-06-27,6478047,11.8,10,614,Salaried,9079736.104710573,92194.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
179,2015-06-28,2119043,12.07,30,340,Salaried,2528181.986157566,21911.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
180,2015-06-29,8103230,12.47,25,404,Salaried,9396962.810125114,88173.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
181,2015-06-30,3558231,7.54,15,492,Salaried,4160208.4634648208,33066.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
182,2015-07-01,7659908,8.88,25,700,Salaried,9193787.850145472,63653.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
183,2015-07-02,4080389,11.05,25,577,Self-employed,5994263.373217492,40140.0,1,3.0,3590742.32,5187582.106796375,0.0,3590742.32,0.3,0.0
184,2015-07-03,2661909,10.68,30,653,Salaried,3155539.9125621566,24708.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
185,2015-07-04,3656138,7.42,25,879,Salaried,4810432.290058043,26829.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
186,2015-07-05,1110078,11.39,25,555,Self-employed,1802580.9651587312,11194.0,1,4.0,932465.52,1706915.963405679,0.0,932465.52,0.3,0.0
187,2015-07-06,2915631,7.85,20,398,Salaried,3955641.794016359,24116.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
188,2015-07-07,7314127,7.84,30,887,Self-employed,8286578.770028948,52855.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
189,2015-07-08,3008187,9.72,10,581,Self-employed,3472222.4269399475,39288.0,1,4.0,1804912.2,2899188.1824902254,0.0,1804912.2,0.3,0.0
190,2015-07-09,2659066,10.06,15,702,Self-employed,4216193.660070797,28672.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
191,2015-07-10,3148815,9.98,25,408,Salaried,3824914.5182113177,28569.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
192,2015-07-11,8355740,7.05,15,498,Salaried,9926772.21636405,75338.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
193,2015-07-12,5506259,11.76,10,602,Self-employed,8080607.60451285,78237.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
194,2015-07-13,8473915,8.09,15,626,Salaried,11428340.097098742,81422.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
195,2015-07-14,8658426,7.28,10,453,Salaried,10646089.40474206,101786.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
196,2015-07-15,7404003,11.83,20,851,Self-employed,10118733.163464345,80649.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
197,2015-07-16,5135314,12.23,25,704,Self-employed,8101920.814290205,54961.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
198,2015-07-17,1910681,11.67,10,761,Salaried,2353737.383966734,27049.0,0,,0.0,0.0,0.0,0.0,0.02,0.0
199,2015-07-18,2607618,11.36,15,431,Self-employed,2985281.1170022585,30230.0,1,4.0,1912253.2000000002,2740347.5924311047,0.0,1912253.2000000002,0.3,0.0
200,2015-07-19,4896830,10.43,25,383,Self-employed,6153764.6161962245,45990.0,0,,0.0,0.0,0.0,0.0,0.3,0.0
201,2015-07-20,5336787,9.81,20,698,Self-employed,6413326.555332878,50831.0,0,,0.0,0.0,0.0,0.0,0.1,0.0
